Customer_ID,Month,Electricity_Consumption_kWh,Previous_Month_Consumption,Peak_Consumption,Off_Peak_Consumption,Voltage,Current,Power_Factor,Meter_Age,Number_of_Meter_Readings,Location_Type,Customer_Type,Theft_Flag_GroundTruth,Average_Consumption_3_Months,Average_Consumption_6_Months
C00980,3,5234.42,4918.07,3891.01,1343.4,231.31,32.999,0.952,5,30,Semi-Urban,Industrial,0,5105.46,5105.46
C00229,6,243.34,286.27,161.01,82.33,234.97,1.532,0.939,8,28,Urban,Residential,0,262.7133333333333,244.904
C00014,3,231.77,218.42,164.05,67.71,238.44,1.413,0.955,13,29,Urban,Residential,0,234.01,234.01
C01005,6,362.69,372.22,225.25,137.44,230.77,2.34,0.933,18,30,Urban,Residential,0,344.06333333333333,329.742
C00289,3,236.64,230.75,144.86,91.78,213.12,1.71,0.902,15,30,Urban,Residential,0,220.695,220.695
C01377,2,167.47,162.46,97.24,70.24,225.81,1.047,0.984,0,28,Rural,Residential,0,162.46,162.46
C00287,5,235.92,253.17,156.89,79.03,234.22,1.585,0.882,12,28,Semi-Urban,Residential,0,203.68999999999997,198.42499999999998
C00075,4,267.87,263.53,194.16,73.71,226.59,1.839,0.893,12,29,Urban,Residential,0,232.8033333333333,232.8033333333333
C00408,5,149.1,164.65,111.57,37.53,221.64,0.992,0.942,9,29,Urban,Residential,0,138.78,133.565
C00811,2,3241.82,2546.76,1892.53,1349.28,224.27,21.958,0.914,8,29,Urban,Industrial,0,2546.76,2546.76
C01124,3,934.93,954.15,639.85,295.09,234.93,5.583,0.99,12,28,Rural,Commercial,0,891.8399999999999,891.8399999999999
C00814,4,157.98,118.81,88.23,69.75,226.78,0.996,0.971,10,29,Urban,Residential,0,110.49333333333334,110.49333333333334
C00522,3,313.39,265.57,173.11,140.27,225.59,2.274,0.848,8,28,Urban,Residential,0,263.025,263.025
C01413,6,284.88,300.65,187.94,96.94,227.1,1.954,0.891,1,30,Urban,Residential,0,219.67333333333332,205.704
C01272,5,292.52,340.12,166.56,125.97,233.53,1.955,0.89,18,30,Rural,Residential,0,294.3933333333333,278.53
C01125,3,225.61,203.43,155.62,69.98,228.94,1.503,0.911,7,28,Rural,Residential,0,177.645,177.645
C00213,6,1188.97,1126.29,688.21,500.76,224.01,8.771,0.84,0,30,Semi-Urban,Commercial,0,951.4333333333334,899.3439999999998
C00566,4,357.01,290.89,219.1,137.91,232.79,2.501,0.852,11,29,Urban,Residential,0,303.3,303.3
C01430,5,246.69,199.42,184.15,62.54,230.02,1.647,0.904,14,28,Rural,Residential,0,185.21,183.515
C01295,3,345.05,359.73,229.85,115.2,225.91,2.348,0.903,1,30,Semi-Urban,Residential,0,337.09000000000003,337.09000000000003
C00324,4,251.82,250.61,166.81,85.01,227.69,1.745,0.88,9,30,Urban,Residential,0,208.79333333333332,208.79333333333332
C01388,5,384.59,309.65,240.18,144.41,236.08,2.305,0.982,6,29,Urban,Residential,0,312.13666666666666,301.64750000000004
C00253,1,307.41,,188.65,118.77,228.61,2.034,0.918,4,29,Semi-Urban,Residential,0,,
C01088,5,470.23,508.62,305.27,164.96,233.75,3.187,0.877,11,28,Urban,Commercial,0,363.9866666666667,358.27
C00438,1,206.15,,148.88,57.26,232.12,1.262,0.977,4,30,Urban,Residential,0,,
C00987,5,164.39,184.36,91.26,73.13,235.43,1.052,0.922,4,29,Urban,Residential,0,162.40333333333334,154.4075
C01213,2,173.06,178.32,112.37,60.69,225.87,1.194,0.891,3,30,Semi-Urban,Residential,0,178.32,178.32
C00796,3,2066.51,1808.51,1185.9,880.61,229.23,13.657,0.917,8,30,Rural,Industrial,0,1886.3049999999998,1886.3049999999998
C00229,2,227.13,209.25,162.15,64.98,241.83,1.403,0.93,8,30,Urban,Residential,0,209.25,209.25
C00289,4,245.4,236.64,180.73,64.67,235.02,1.54,0.942,15,30,Urban,Residential,0,226.01,226.01
C01391,6,1257.31,1161.7,747.71,509.6,240.67,8.095,0.896,7,30,Semi-Urban,Commercial,0,1096.4433333333334,1040.56
C00752,4,210.08,186.05,144.43,65.65,226.15,1.346,0.959,3,28,Urban,Residential,0,167.80666666666667,167.80666666666667
C00219,6,199.38,200.82,141.5,57.88,224.72,1.322,0.932,9,30,Semi-Urban,Residential,0,194.68666666666664,179.208
C00748,2,3899.77,4230.93,2881.6,1018.17,226.79,24.124,0.99,1,29,Urban,Industrial,0,4230.93,4230.93
C00509,6,314.76,260.19,214.94,99.82,230.59,2.235,0.848,0,29,Urban,Residential,0,267.43333333333334,242.74
C00352,6,353.59,349.41,211.49,142.11,226.03,2.455,0.885,18,28,Urban,Residential,0,302.37000000000006,275.052
C00901,5,327.02,335.1,244.44,82.58,235.18,2.081,0.928,18,30,Rural,Residential,0,292.67333333333335,281.4225
C01030,6,147.04,146.69,106.77,40.27,229.64,0.992,0.896,15,30,Semi-Urban,Residential,0,147.79666666666665,133.1
C01183,6,192.98,187.35,108.0,84.98,,1.201,0.951,15,30,Urban,Residential,0,174.7733333333333,161.85
C00619,3,155.36,129.57,85.8,69.56,227.67,1.001,0.946,4,30,Urban,Residential,0,132.14,132.14
C00029,2,3016.12,3539.94,1759.63,1256.49,237.5,18.488,0.954,0,28,Urban,Industrial,0,3539.94,3539.94
C00571,5,409.11,247.98,230.68,178.43,225.3,2.872,0.878,1,29,Urban,Residential,0,310.29333333333335,306.8525
C00818,5,386.22,281.28,213.53,172.69,227.15,2.7,0.874,3,30,Urban,Residential,0,280.8733333333333,273.78249999999997
C00652,5,301.57,342.86,181.63,119.94,224.72,2.177,0.856,7,30,Urban,Residential,0,320.31,307.1675
C00170,5,643.85,720.08,433.66,210.19,232.89,4.092,0.938,15,30,Urban,Commercial,0,584.5633333333334,588.0575
C01402,4,184.24,171.45,129.25,54.99,232.93,1.225,0.897,19,29,Semi-Urban,Residential,0,157.0533333333333,157.0533333333333
C00969,5,305.44,319.32,208.9,96.55,222.78,2.046,0.931,3,28,Urban,Residential,0,274.46333333333337,258.8575
C01386,3,1040.2,1008.99,720.88,319.33,234.46,6.703,0.919,10,30,Rural,Commercial,0,1053.06,1053.06
C00352,2,262.76,205.39,161.88,100.88,226.85,1.814,0.887,18,29,Urban,Residential,0,205.39,205.39
C00718,1,596.37,,348.17,248.2,238.91,3.818,0.908,2,28,Urban,Commercial,0,,
C00313,6,1184.87,1102.57,661.28,523.59,229.3,7.249,0.99,17,30,Urban,Commercial,0,1001.6033333333334,964.008
C00854,6,294.56,276.52,197.26,97.3,235.13,1.963,0.886,8,28,Urban,Residential,0,260.34666666666664,234.26
C00177,1,209.46,,153.02,56.43,238.55,1.44,0.847,8,29,Urban,Residential,0,,
C00871,2,497.02,487.83,296.86,200.16,234.75,3.36,0.875,9,28,Rural,Commercial,0,487.83,487.83
C01476,4,793.0,744.97,501.35,291.64,230.33,5.175,0.924,4,29,Rural,Commercial,0,635.12,635.12
C00543,3,166.61,147.71,118.83,47.77,225.27,1.131,0.908,3,30,Semi-Urban,Residential,0,139.85000000000002,139.85000000000002
C00306,6,937.66,810.64,621.74,315.92,226.43,6.485,0.887,11,30,Semi-Urban,Commercial,0,819.27,726.4159999999999
C00588,3,96.41,103.42,42.05,54.36,233.45,1.03,0.557,13,25,Rural,Residential,1,109.265,109.265
C01066,5,184.06,194.13,107.34,76.72,230.63,1.165,0.951,14,29,Semi-Urban,Residential,0,163.61666666666667,161.15
C00271,4,282.74,274.95,205.41,77.33,236.73,1.719,0.965,12,29,Semi-Urban,Residential,0,241.56333333333336,241.56333333333336
C00564,5,5200.45,5690.27,3578.51,1621.94,226.64,34.842,0.915,15,30,Urban,Industrial,0,4805.89,4856.842500000001
C00460,2,300.96,287.22,199.37,101.59,236.15,2.043,0.866,14,30,Rural,Residential,0,287.22,287.22
C01461,5,185.29,183.08,112.07,73.22,239.2,1.239,0.868,12,29,Rural,Residential,0,171.01000000000002,162.25
C00502,6,146.87,134.72,85.6,61.26,220.17,0.971,0.955,16,29,Urban,Residential,0,137.4033333333333,130.9
C00810,3,235.62,244.45,163.93,71.68,234.6,1.648,0.847,7,30,Rural,Residential,0,243.70499999999998,243.70499999999998
C00015,5,29.31,100.57,20.78,8.53,241.95,0.188,0.896,18,15,Rural,Residential,1,128.04333333333332,129.76999999999998
C01289,1,137.47,,98.18,39.29,230.7,0.957,0.865,3,30,Urban,Residential,0,,
C00877,2,250.61,261.0,170.46,80.15,222.63,1.671,0.936,16,30,Rural,Residential,0,261.0,261.0
C00117,5,336.81,384.06,230.57,106.24,235.34,2.11,0.942,15,29,Semi-Urban,Residential,0,313.0566666666666,302.18
C00124,6,2133.27,2011.24,1228.29,904.97,232.92,14.053,0.905,1,30,Urban,Industrial,0,1771.9799999999998,1809.33
C01352,4,516.75,482.31,323.29,193.46,233.01,3.373,0.913,0,30,Semi-Urban,Commercial,0,439.81,439.81
C00915,4,2949.9,2384.12,1896.09,1053.81,226.52,18.27,0.99,4,28,Urban,Industrial,0,2012.3333333333333,2012.3333333333333
C01247,2,208.11,170.87,143.26,64.85,224.48,1.34,0.961,19,30,Urban,Residential,0,170.87,170.87
C01011,6,575.62,685.3,324.62,251.0,234.57,3.6,0.947,4,29,Semi-Urban,Commercial,0,638.5866666666667,603.566
C00866,3,425.07,434.69,304.13,120.93,229.19,2.916,0.883,10,30,Semi-Urban,Commercial,0,433.28499999999997,433.28499999999997
C00905,5,1101.74,1055.75,689.06,412.67,238.0,7.228,0.889,6,29,Urban,Commercial,0,849.1366666666667,802.8299999999999
C00948,3,226.72,215.8,141.56,85.16,226.21,1.488,0.935,13,29,Semi-Urban,Residential,0,218.92000000000002,218.92000000000002
C01078,2,204.23,188.97,126.83,77.39,228.76,1.287,0.964,5,30,Semi-Urban,Residential,0,188.97,188.97
C00645,6,267.12,255.25,179.07,88.05,231.96,2.294,0.697,15,30,Urban,Residential,1,285.2366666666667,296.392
C01102,1,281.48,,161.47,120.0,231.4,1.903,0.888,12,29,Semi-Urban,Residential,0,,
C00491,5,846.82,842.07,472.52,374.3,229.83,5.63,0.909,17,30,Semi-Urban,Commercial,0,756.7466666666666,744.6975
C01154,2,227.51,259.14,148.0,79.51,236.32,1.455,0.919,6,29,Rural,Residential,0,259.14,259.14
C00266,6,199.71,214.89,130.08,69.63,228.92,1.362,0.89,9,29,Urban,Residential,0,195.29333333333332,174.872
C01262,1,181.09,,133.94,47.14,224.98,1.192,0.938,0,28,Semi-Urban,Residential,0,,
C01358,3,2353.82,2263.2,1362.57,991.25,233.69,15.447,0.906,11,29,Semi-Urban,Industrial,0,2171.24,2171.24
C00782,6,336.46,389.5,208.34,128.12,233.64,2.225,0.899,0,30,Urban,Residential,0,335.68333333333334,317.03000000000003
C00910,1,240.5,,160.62,79.88,227.76,1.603,0.915,4,29,Semi-Urban,Residential,0,,
C01269,5,381.44,357.3,279.7,101.75,239.06,2.558,0.866,12,30,Semi-Urban,Residential,0,326.7833333333333,324.105
C01176,4,291.31,262.7,188.96,102.34,227.1,2.056,0.867,9,28,Semi-Urban,Residential,0,243.67666666666665,243.67666666666665
C01303,3,127.7,149.85,77.68,50.02,231.94,0.814,0.94,15,28,Urban,Residential,0,147.8,147.8
C00683,1,2765.26,,1790.95,974.3,225.47,17.684,0.963,17,30,Urban,Industrial,0,,
C01459,2,264.52,252.4,176.48,88.03,235.06,1.728,0.905,6,30,Urban,Residential,0,252.4,252.4
C00013,5,264.38,222.23,191.6,72.78,226.5,1.746,0.929,9,30,Semi-Urban,Residential,0,211.53666666666663,201.485
C00931,1,203.35,,115.63,87.71,230.4,1.284,0.955,1,30,Semi-Urban,Residential,0,,
C01139,5,4017.04,4111.41,2388.31,1628.73,236.78,24.8,0.95,15,29,Semi-Urban,Industrial,0,3297.0399999999995,3306.66
C00806,5,236.52,37.13,165.55,70.96,229.75,1.564,0.914,17,30,Semi-Urban,Residential,0,76.92333333333333,87.865
C00260,5,363.45,283.3,221.63,141.81,233.0,2.337,0.927,8,29,Semi-Urban,Residential,0,253.45333333333335,246.81
C01206,5,151.8,226.82,102.35,49.45,226.01,1.003,0.93,11,30,Rural,Residential,0,160.04999999999998,151.64499999999998
C00995,5,149.9,182.91,106.91,42.99,224.73,1.665,0.556,3,29,Urban,Residential,1,172.99,164.3825
C00656,5,1328.01,1240.25,929.47,398.53,237.83,7.834,0.99,3,30,Urban,Commercial,0,1076.0900000000001,1035.7575000000002
C00323,3,322.67,276.42,209.44,113.23,234.48,2.064,0.926,0,30,Semi-Urban,Residential,0,292.46000000000004,292.46000000000004
C00899,1,4641.18,,2954.12,1687.06,222.85,31.922,0.906,2,29,Semi-Urban,Industrial,0,,
C00086,2,143.23,198.81,80.66,62.57,226.02,0.964,0.913,18,30,Semi-Urban,Residential,0,198.81,198.81
C01483,3,228.84,260.65,150.07,78.77,236.22,1.43,0.941,16,30,Urban,Residential,0,241.755,241.755
C00225,6,139.84,148.3,79.31,60.53,229.78,0.929,0.91,4,28,Urban,Residential,0,139.80333333333334,131.772
C00922,3,423.91,431.75,235.64,188.27,227.9,2.61,0.99,0,29,Rural,Commercial,0,390.435,390.435
C00094,6,480.16,490.9,295.64,184.52,229.14,3.187,0.913,8,28,Semi-Urban,Commercial,0,440.4433333333333,427.276
C01353,5,400.71,377.95,255.02,145.69,228.73,2.801,0.869,8,30,Rural,Residential,0,305.95000000000005,297.765
C01042,6,1359.91,1322.64,756.09,603.82,226.61,9.009,0.925,7,30,Urban,Commercial,0,1292.42,1247.6740000000002
C00042,3,733.36,659.85,412.93,320.42,237.46,4.718,0.909,3,29,Urban,Commercial,0,656.175,656.175
C01345,4,152.64,183.14,105.88,46.76,230.02,1.097,0.84,19,30,Urban,Residential,0,158.33666666666667,158.33666666666667
C00328,1,287.05,,206.16,80.89,236.72,1.78,0.946,10,30,Urban,Residential,0,,
C01141,6,145.29,144.27,102.02,43.27,224.59,0.998,0.9,16,30,Urban,Residential,0,144.62333333333333,135.244
C00577,4,302.49,280.67,180.51,121.98,228.43,1.948,0.944,19,28,Urban,Residential,0,247.49666666666667,247.49666666666667
C00573,2,3659.38,4066.09,2665.56,993.82,237.46,22.468,0.953,0,29,Semi-Urban,Industrial,0,4066.09,4066.09
C01066,4,194.13,152.69,121.71,72.42,228.43,1.251,0.944,14,29,Semi-Urban,Residential,0,150.15666666666667,150.15666666666667
C00376,3,1200.35,1151.71,694.91,505.44,230.86,8.056,0.896,10,30,Urban,Commercial,0,1041.0900000000001,1041.0900000000001
C01106,3,4442.63,4330.61,2845.47,1597.15,229.09,28.304,0.952,16,30,Rural,Industrial,0,4086.2349999999997,4086.2349999999997
C01383,5,180.16,173.71,105.29,74.87,225.75,1.157,0.958,2,30,Urban,Residential,0,138.79666666666665,137.255
C00821,1,296.8,,214.72,82.09,232.64,1.952,0.908,11,30,Semi-Urban,Residential,0,,
C01045,3,1964.38,1875.69,1453.86,510.51,,12.938,0.938,7,30,Semi-Urban,Industrial,0,1894.065,1894.065
C00194,5,161.87,154.84,91.38,70.49,220.12,1.153,0.886,2,30,Urban,Residential,0,134.92333333333332,129.505
C01054,4,210.44,221.21,136.17,74.26,228.92,1.367,0.934,6,30,Rural,Residential,0,191.67333333333332,191.67333333333332
C01459,6,424.69,330.77,264.02,160.67,234.62,2.797,0.899,6,28,Urban,Residential,0,346.1066666666666,311.04799999999994
C00787,5,433.25,633.39,310.54,122.7,226.42,2.929,0.907,9,28,Urban,Commercial,1,513.0966666666667,586.9575
C00722,3,195.77,173.06,122.72,73.05,231.44,1.3,0.904,17,30,Urban,Residential,0,173.535,173.535
C00879,6,244.97,244.3,164.56,80.41,230.92,1.524,0.967,6,30,Urban,Residential,0,245.67,228.096
C00180,3,158.78,121.05,89.56,69.23,232.68,1.102,0.86,2,28,Semi-Urban,Residential,0,138.885,138.885
C01111,1,340.23,,238.62,101.61,236.03,2.271,0.882,17,28,Urban,Residential,0,,
C01412,6,227.25,41.64,150.24,77.01,226.09,1.496,0.933,16,30,Urban,Residential,0,90.12,124.75999999999999
C01189,1,159.88,,99.21,60.67,227.72,1.179,0.827,12,28,Semi-Urban,Residential,0,,
C00643,4,217.97,194.4,151.59,66.38,228.47,1.368,0.968,10,29,Urban,Residential,0,184.56000000000003,184.56000000000003
C00706,6,210.86,232.52,147.53,63.33,224.44,1.515,0.861,1,30,Semi-Urban,Residential,0,222.77666666666664,209.38600000000002
C00446,4,3442.73,3049.03,2305.51,1137.22,226.45,21.398,0.987,0,29,Semi-Urban,Industrial,0,2678.9966666666664,2678.9966666666664
C00589,5,270.28,259.98,193.94,76.35,228.48,1.825,0.9,3,30,Urban,Residential,0,240.1866666666667,233.4
C00016,6,344.55,433.45,242.04,102.51,230.36,2.306,0.901,4,30,Semi-Urban,Residential,0,389.5733333333333,346.582
C00946,5,166.61,151.18,95.17,71.44,233.46,1.111,0.892,0,28,Semi-Urban,Residential,0,138.26333333333335,135.5325
C00445,1,661.53,,439.27,222.26,234.57,4.446,0.881,13,29,Urban,Commercial,0,,
C01410,4,174.22,91.47,102.17,72.05,223.49,1.147,0.944,6,29,Urban,Residential,0,129.53,129.53
C01102,2,282.01,281.48,207.05,74.96,231.69,1.799,0.94,12,30,Semi-Urban,Residential,0,281.48,281.48
C01225,6,540.34,415.96,312.8,227.54,227.72,3.516,0.937,17,28,Urban,Commercial,0,477.8333333333333,450.412
C00053,4,373.33,324.43,264.66,108.68,230.01,2.541,0.887,17,30,Semi-Urban,Residential,0,338.72,338.72
C01454,2,199.93,194.61,122.05,77.88,221.7,1.409,0.889,4,30,Rural,Residential,0,194.61,194.61
C00204,5,4296.66,5164.94,2767.13,1529.53,233.27,,0.939,12,29,Urban,Industrial,0,4450.8533333333335,4284.28
C00173,3,168.43,141.75,121.69,46.74,226.64,1.115,0.925,11,30,Urban,Residential,0,144.24,144.24
C01336,6,752.83,644.7,447.63,305.2,228.09,4.909,0.934,18,28,Semi-Urban,Commercial,0,580.4033333333333,573.472
C01293,4,319.37,283.63,237.05,82.32,229.42,2.103,0.919,12,28,Semi-Urban,Residential,0,250.6933333333333,250.6933333333333
C00386,1,160.62,,111.01,49.61,235.12,0.967,0.982,11,30,Urban,Residential,0,,
C00174,1,210.83,,156.16,54.68,240.9,1.292,0.941,0,28,Semi-Urban,Residential,0,,
C00806,3,44.32,149.32,31.49,12.83,231.59,0.289,0.92,17,15,Semi-Urban,Residential,1,135.005,135.005
C01314,1,673.8,,472.65,201.14,229.59,4.362,0.934,16,28,Urban,Commercial,0,,
C01487,1,138.91,,77.52,61.39,229.14,0.893,0.942,2,28,Urban,Residential,0,,
C01247,6,235.43,229.79,150.01,85.41,230.28,1.583,0.897,19,29,Urban,Residential,0,231.84666666666666,214.904
C01142,5,185.84,249.14,127.18,58.66,231.92,1.183,0.941,10,28,Rural,Residential,0,191.6833333333333,177.23
C00128,2,183.89,177.59,101.19,82.71,230.61,1.178,0.94,16,30,Urban,Residential,0,177.59,177.59
C00536,1,262.49,,153.18,109.31,227.79,1.753,0.913,18,29,Semi-Urban,Residential,0,,
C00853,3,3952.97,3380.03,2919.53,1033.44,223.11,26.649,0.923,15,29,Semi-Urban,Industrial,0,3355.9,3355.9
C01008,2,321.64,317.52,187.29,134.35,233.21,2.182,0.878,3,29,Urban,Residential,0,317.52,317.52
C01063,6,211.39,186.81,128.64,82.74,240.06,1.26,0.971,3,30,Semi-Urban,Residential,0,187.08333333333334,172.71599999999998
C00724,4,184.88,159.06,130.05,54.83,227.56,1.175,0.961,0,28,Semi-Urban,Residential,0,136.99333333333334,136.99333333333334
C01476,3,744.97,581.45,530.25,214.72,224.11,4.896,0.943,4,30,Rural,Commercial,0,580.195,580.195
C00636,6,1209.24,1012.42,695.57,513.67,238.52,7.516,0.937,10,30,Urban,Commercial,0,902.7199999999999,874.348
C00370,1,266.24,,191.13,75.11,225.12,1.789,0.918,3,30,Rural,Residential,0,,
C01247,3,218.66,208.11,124.98,93.68,234.64,1.398,0.926,19,30,Urban,Residential,0,189.49,189.49
C00902,6,345.72,382.14,242.81,102.91,222.1,2.184,0.99,1,30,Rural,Residential,0,346.93666666666667,323.35
C00020,6,1357.28,1434.19,852.18,505.1,222.83,8.969,0.943,11,29,Urban,Commercial,0,1310.5533333333335,1260.122
C00188,6,1488.19,1171.79,939.9,548.28,229.95,9.803,0.917,9,28,Urban,Commercial,0,1286.36,1269.068
C01496,6,3505.99,4840.4,2518.08,987.91,233.83,21.871,0.952,13,29,Semi-Urban,Industrial,0,4400.6866666666665,4089.1119999999996
C00479,3,214.21,100.52,145.84,68.37,236.77,1.391,0.904,1,28,Urban,Residential,0,136.495,136.495
C00396,6,383.36,372.72,281.39,101.97,226.22,2.672,0.881,9,30,Urban,Residential,0,368.6833333333334,345.468
C01216,4,4170.36,3876.31,2532.86,1637.5,235.07,28.538,0.863,4,28,Semi-Urban,Industrial,0,3501.3033333333333,3501.3033333333333
C01358,4,2903.37,2353.82,2003.07,900.3,221.66,18.914,0.962,11,29,Semi-Urban,Industrial,0,2232.1,2232.1
C01136,1,317.26,,222.29,94.96,230.01,2.002,0.957,16,30,Rural,Residential,0,,
C00765,3,172.99,178.53,110.99,62.0,221.98,1.093,0.99,3,30,Semi-Urban,Residential,0,173.69,173.69
C00889,6,380.1,382.81,274.83,105.27,223.97,2.528,0.932,6,29,Urban,Residential,0,375.07666666666665,346.092
C00597,3,371.98,319.26,235.74,136.24,228.83,2.354,0.959,8,30,Urban,Residential,0,321.26,321.26
C00851,3,673.85,760.12,449.9,223.95,226.39,4.475,0.924,11,28,Rural,Commercial,0,769.4549999999999,769.4549999999999
